date,username,tweet,sentiment,likes,retweets
2024-09-19 16:03:35.684527,user_7,I awesome this education project. It's excellent! #education,positive,925,17
2024-09-26 16:03:35.684527,user_18,I fantastic this education project. It's wonderful! #education,positive,326,80
2024-09-19 16:03:35.684527,user_19,I fantastic this education project. It's fantastic! #education,positive,144,92
2024-10-04 16:03:35.684527,user_2,I outstanding this education project. It's excellent! #education,positive,759,26
2024-10-06 16:03:35.684527,user_11,I disappointing this education project. It's hate! #education,negative,642,0
2024-09-26 16:03:35.685529,user_19,I awesome this education project. It's happy! #education,positive,510,92
2024-10-04 16:03:35.685529,user_5,I typical this finance project. It's regular! #finance,neutral,402,61
2024-09-23 16:03:35.685529,user_2,I fine this finance project. It's typical! #finance,neutral,114,75
2024-09-21 16:03:35.685529,user_2,I waste this education project. It's bad! #education,negative,771,63
2024-09-21 16:03:35.685529,user_11,I average this healthcare project. It's regular! #healthcare,neutral,976,82
2024-09-25 16:03:35.685529,user_6,I fine this finance project. It's normal! #finance,neutral,522,95
2024-09-15 16:03:35.685529,user_19,I love this education project. It's amazing! #education,positive,317,65
2024-10-05 16:03:35.685529,user_3,I regular this education project. It's normal! #education,neutral,553,61
2024-09-21 16:03:35.686527,user_14,I love this healthcare project. It's awesome! #healthcare,positive,7,38
2024-09-27 16:03:35.686527,user_15,I bad this finance project. It's frustrated! #finance,negative,812,43
2024-09-09 16:03:35.686527,user_1,I average this finance project. It's regular! #finance,neutral,140,19
2024-10-05 16:03:35.686527,user_5,I bad this healthcare project. It's disappointing! #healthcare,negative,418,28
2024-10-06 16:03:35.686527,user_3,I great this finance project. It's awesome! #finance,positive,831,17
2024-09-08 16:03:35.686527,user_7,I frustrated this finance project. It's horrible! #finance,negative,43,5
2024-09-21 16:03:35.686527,user_20,I decent this healthcare project. It's normal! #healthcare,neutral,94,44
2024-09-15 16:03:35.686527,user_17,I excellent this education project. It's excellent! #education,positive,895,34
2024-10-04 16:03:35.686527,user_12,I love this education project. It's happy! #education,positive,759,74
2024-09-12 16:03:35.687527,user_2,I excellent this finance project. It's excellent! #finance,positive,559,52
2024-09-23 16:03:35.687527,user_9,I fantastic this finance project. It's love! #finance,positive,652,37
2024-09-20 16:03:35.687527,user_12,I waste this finance project. It's frustrated! #finance,negative,22,41
2024-09-19 16:03:35.687527,user_1,I great this finance project. It's excellent! #finance,positive,802,11
2024-10-03 16:03:35.687527,user_2,I waste this healthcare project. It's terrible! #healthcare,negative,873,87
2024-09-16 16:03:35.687527,user_15,I frustrated this healthcare project. It's terrible! #healthcare,negative,190,40
2024-09-07 16:03:35.687527,user_11,I regular this finance project. It's fair! #finance,neutral,785,55
2024-09-24 16:03:35.687527,user_11,I regular this finance project. It's standard! #finance,neutral,456,67
2024-09-18 16:03:35.687527,user_2,I excellent this education project. It's brilliant! #education,positive,615,14
2024-09-12 16:03:35.688527,user_10,I love this finance project. It's happy! #finance,positive,932,66
2024-09-22 16:03:35.688527,user_3,I fantastic this healthcare project. It's great! #healthcare,positive,606,96
2024-10-03 16:03:35.688527,user_1,I outstanding this healthcare project. It's excellent! #healthcare,positive,568,61
2024-09-09 16:03:35.688527,user_18,I wonderful this healthcare project. It's great! #healthcare,positive,201,56
2024-09-24 16:03:35.688527,user_18,I decent this finance project. It's fair! #finance,neutral,631,92
2024-09-09 16:03:35.688527,user_18,I amazing this healthcare project. It's awesome! #healthcare,positive,588,40
2024-09-18 16:03:35.688527,user_4,I fair this education project. It's normal! #education,neutral,945,1
2024-10-01 16:03:35.688527,user_6,I happy this healthcare project. It's awesome! #healthcare,positive,934,27
2024-10-02 16:03:35.688527,user_2,I moderate this healthcare project. It's fine! #healthcare,neutral,771,68
2024-09-10 16:03:35.688527,user_14,I terrible this education project. It's awful! #education,negative,14,62
2024-10-03 16:03:35.689527,user_20,I bad this education project. It's awful! #education,negative,260,58
2024-09-25 16:03:35.689527,user_8,I brilliant this finance project. It's outstanding! #finance,positive,191,68
2024-09-18 16:03:35.689527,user_4,I regular this healthcare project. It's regular! #healthcare,neutral,904,52
2024-09-25 16:03:35.690033,user_14,I excellent this finance project. It's outstanding! #finance,positive,749,38
2024-09-10 16:03:35.690033,user_8,I excellent this finance project. It's great! #finance,positive,494,1
2024-09-25 16:03:35.690033,user_1,I poor this healthcare project. It's poor! #healthcare,negative,81,85
2024-09-30 16:03:35.690033,user_8,I frustrated this finance project. It's frustrated! #finance,negative,373,81
2024-09-27 16:03:35.690033,user_5,I outstanding this finance project. It's love! #finance,positive,700,24
2024-09-17 16:03:35.690033,user_20,I okay this healthcare project. It's decent! #healthcare,neutral,372,90
2024-09-30 16:03:35.690033,user_1,I regular this education project. It's average! #education,neutral,685,38
2024-09-25 16:03:35.691039,user_17,I useless this healthcare project. It's bad! #healthcare,negative,665,18
2024-09-29 16:03:35.691039,user_6,I happy this education project. It's great! #education,positive,252,99
2024-09-19 16:03:35.691039,user_13,I normal this education project. It's typical! #education,neutral,730,23
2024-09-13 16:03:35.691039,user_20,I wonderful this finance project. It's love! #finance,positive,734,79
2024-09-11 16:03:35.691039,user_12,I okay this healthcare project. It's typical! #healthcare,neutral,895,4
2024-09-23 16:03:35.691039,user_12,I poor this education project. It's hate! #education,negative,246,13
2024-09-25 16:03:35.691039,user_11,I amazing this finance project. It's awesome! #finance,positive,531,77
2024-09-18 16:03:35.691039,user_9,I fair this finance project. It's okay! #finance,neutral,190,48
2024-10-02 16:03:35.691039,user_20,I fantastic this education project. It's love! #education,positive,166,41
2024-09-09 16:03:35.692042,user_14,I decent this education project. It's standard! #education,neutral,162,99
2024-10-04 16:03:35.692042,user_1,I fair this education project. It's okay! #education,neutral,33,48
2024-10-06 16:03:35.692042,user_13,I horrible this education project. It's terrible! #education,negative,749,90
2024-10-04 16:03:35.692042,user_12,I regular this finance project. It's typical! #finance,neutral,641,90
2024-09-11 16:03:35.692042,user_7,I fine this healthcare project. It's average! #healthcare,neutral,766,75
2024-09-19 16:03:35.693041,user_20,I amazing this finance project. It's wonderful! #finance,positive,459,14
2024-10-04 16:03:35.693041,user_19,I happy this education project. It's wonderful! #education,positive,968,21
2024-09-09 16:03:35.693041,user_13,I hate this healthcare project. It's terrible! #healthcare,negative,492,26
2024-10-03 16:03:35.693041,user_13,I hate this healthcare project. It's terrible! #healthcare,negative,118,62
2024-10-05 16:03:35.693041,user_19,I great this education project. It's outstanding! #education,positive,93,57
2024-09-22 16:03:35.693041,user_13,I outstanding this healthcare project. It's happy! #healthcare,positive,285,45
2024-10-04 16:03:35.693041,user_3,I fantastic this finance project. It's awesome! #finance,positive,654,95
2024-09-20 16:03:35.694039,user_17,I okay this finance project. It's fair! #finance,neutral,962,7
2024-10-04 16:03:35.694039,user_7,I awful this education project. It's hate! #education,negative,620,8
2024-09-25 16:03:35.694039,user_7,I average this education project. It's normal! #education,neutral,48,17
2024-09-20 16:03:35.694039,user_6,I outstanding this healthcare project. It's outstanding! #healthcare,positive,16,74
2024-09-25 16:03:35.694039,user_20,I decent this finance project. It's moderate! #finance,neutral,495,78
2024-09-17 16:03:35.694039,user_19,I disappointing this finance project. It's disappointing! #finance,negative,866,62
2024-09-17 16:03:35.694039,user_11,I standard this healthcare project. It's fine! #healthcare,neutral,751,58
2024-09-29 16:03:35.694039,user_5,I regular this healthcare project. It's okay! #healthcare,neutral,572,80
2024-09-19 16:03:35.695039,user_13,I normal this education project. It's fair! #education,neutral,467,96
2024-09-13 16:03:35.695039,user_14,I fine this healthcare project. It's typical! #healthcare,neutral,713,88
2024-09-25 16:03:35.695039,user_10,I great this finance project. It's brilliant! #finance,positive,194,37
2024-09-07 16:03:35.695039,user_5,I normal this education project. It's average! #education,neutral,804,74
2024-09-17 16:03:35.695039,user_18,I terrible this healthcare project. It's poor! #healthcare,negative,922,29
2024-09-20 16:03:35.695039,user_20,I love this finance project. It's brilliant! #finance,positive,951,25
2024-09-10 16:03:35.695039,user_7,I fair this education project. It's moderate! #education,neutral,51,85
2024-09-24 16:03:35.695039,user_2,I decent this education project. It's okay! #education,neutral,750,94
2024-09-09 16:03:35.695039,user_18,I disappointing this education project. It's terrible! #education,negative,410,19
2024-09-20 16:03:35.695039,user_5,I hate this education project. It's horrible! #education,negative,475,1
2024-09-16 16:03:35.695039,user_9,I poor this education project. It's waste! #education,negative,895,92
2024-09-27 16:03:35.695039,user_13,I okay this finance project. It's fair! #finance,neutral,536,14
2024-09-13 16:03:35.695039,user_12,I decent this healthcare project. It's average! #healthcare,neutral,446,12
2024-10-06 16:03:35.696039,user_6,I bad this finance project. It's useless! #finance,negative,473,57
2024-10-01 16:03:35.696039,user_8,I okay this healthcare project. It's fine! #healthcare,neutral,769,53
2024-10-05 16:03:35.696039,user_14,I terrible this education project. It's disappointing! #education,negative,867,66
2024-09-27 16:03:35.696039,user_19,I disappointing this education project. It's useless! #education,negative,11,66
2024-09-12 16:03:35.696039,user_2,I terrible this finance project. It's horrible! #finance,negative,571,56
2024-09-25 16:03:35.696039,user_15,I fantastic this finance project. It's amazing! #finance,positive,394,45
2024-09-21 16:03:35.696039,user_1,I normal this healthcare project. It's fine! #healthcare,neutral,569,0
